Algoritmo,LarguraImagem,AlturaImagem,LarguraKernel,AlturaKernel,Tempo_ms,Memoria_MB,Iteracoes
convolucaoIngenua,256,256,3,3,15.2809,0.628906,10
convolucaoIngenua,256,256,5,5,27.7978,0.00390625,10
convolucaoIngenua,256,256,7,7,54.6795,0,10
convolucaoIngenua,256,256,9,9,88.351,0,10
convolucaoIngenua,256,256,11,11,130.229,0,10
convolucaoIngenua,256,256,13,13,169.893,0,10
convolucaoIngenua,256,256,15,15,234.794,0.00390625,10
convolucaoIngenua,256,256,17,17,299.331,0,10
convolucaoIngenua,256,256,19,19,378.875,0.00390625,10
convolucaoIngenua,256,256,21,21,450.868,0.00390625,10
convolucaoIngenua,256,256,23,23,542.346,0,10
convolucaoIngenua,256,256,25,25,639.383,0,10
convolucaoIngenua,256,256,27,27,736.155,0.00390625,10
convolucaoIngenua,256,256,29,29,839.496,0,10
convolucaoIngenua,256,256,31,31,958.412,0.00390625,10
convolucaoIngenua,256,256,33,33,1083.67,0,10
convolucaoIngenua,256,256,35,35,1211.7,0,10
convolucaoIngenua,256,256,37,37,1351.06,0,10
convolucaoIngenua,256,256,39,39,1492.13,0,10
convolucaoIngenua,256,256,41,41,1652.53,0,10
convolucaoIngenua,256,256,43,43,1744.37,0.00390625,10
convolucaoIngenua,256,256,45,45,1834.1,0.00390625,10
convolucaoIngenua,256,256,47,47,2126.66,0.00390625,10
convolucaoIngenua,256,256,49,49,2358.75,0,10
convolucaoIngenua,256,256,51,51,2487.87,0.00390625,10
convolucaoIngenua,256,256,53,53,2815.25,0.00390625,10
convolucaoIngenua,256,256,55,55,2973.07,0.00390625,10
convolucaoIngenua,256,256,57,57,3186.85,0.00390625,10
convolucaoIngenua,256,256,59,59,3401.79,0,10
convolucaoIngenua,256,256,61,61,3605.57,0.00390625,10
convolucaoIngenua,256,256,63,63,3797.52,0.00390625,10
convolucaoIngenua,256,256,65,65,4033.83,0.00390625,10
convolucaoIngenua,256,256,67,67,4259.89,0.00390625,10
convolucaoIngenua,256,256,69,69,4495.26,0.00390625,10
convolucaoIngenua,256,256,71,71,4784.25,0.0078125,10
convolucaoIngenua,256,256,73,73,5046.14,0.00390625,10
convolucaoIngenua,256,256,75,75,5250.15,0.00390625,10
convolucaoIngenua,256,256,77,77,5510.48,0.00390625,10
convolucaoIngenua,256,256,79,79,5787.92,0.00390625,10
convolucaoIngenua,256,256,81,81,6128.38,0.0078125,10
convolucaoIngenua,256,256,83,83,6352.25,0.00390625,10
convolucaoIngenua,256,256,85,85,6595.09,0.00390625,10
convolucaoIngenua,256,256,87,87,6911.67,0.00390625,10
convolucaoIngenua,256,256,89,89,7180.48,0.0078125,10
convolucaoIngenua,256,256,91,91,7468.44,0.00390625,10
convolucaoIngenua,256,256,93,93,7883.42,0.0078125,10
convolucaoIngenua,256,256,95,95,8200.65,0.00390625,10
convolucaoIngenua,256,256,97,97,8477.89,0.0078125,10
convolucaoIngenua,256,256,99,99,8796.02,0.00390625,10
convolucaoIngenua,256,256,101,101,9104.23,0.0078125,10
