Algoritmo,LarguraImagem,AlturaImagem,LarguraKernel,AlturaKernel,Tempo_ms,Memoria_MB,Iteracoes
wrapperSeparavel,256,256,3,3,8.10656,1.07031,10
wrapperSeparavel,256,256,5,5,10.5533,0.875,10
wrapperSeparavel,256,256,7,7,14.8695,0.875,10
wrapperSeparavel,256,256,9,9,16.7895,0.875,10
wrapperSeparavel,256,256,11,11,20.2743,0.875,10
wrapperSeparavel,256,256,13,13,28.6471,0.875,10
wrapperSeparavel,256,256,15,15,29.4677,0.875,10
wrapperSeparavel,256,256,17,17,32.119,0.878906,10
wrapperSeparavel,256,256,19,19,35.7198,0.875,10
wrapperSeparavel,256,256,21,21,38.548,0.878906,10
wrapperSeparavel,256,256,23,23,41.1079,0.875,10
wrapperSeparavel,256,256,25,25,44.6904,0.878906,10
wrapperSeparavel,256,256,27,27,47.6188,0.875,10
wrapperSeparavel,256,256,29,29,51.1946,0.878906,10
wrapperSeparavel,256,256,31,31,54.1959,0.878906,10
wrapperSeparavel,256,256,33,33,57.9296,0.875,10
wrapperSeparavel,256,256,35,35,61.1905,0.878906,10
wrapperSeparavel,256,256,37,37,63.5737,0.878906,10
wrapperSeparavel,256,256,39,39,66.8029,0.878906,10
wrapperSeparavel,256,256,41,41,69.6596,0.878906,10
wrapperSeparavel,256,256,43,43,73.1912,0.878906,10
wrapperSeparavel,256,256,45,45,76.2059,0.878906,10
wrapperSeparavel,256,256,47,47,79.52,0.878906,10
wrapperSeparavel,256,256,49,49,82.3887,0.878906,10
wrapperSeparavel,256,256,51,51,86.048,0.878906,10
wrapperSeparavel,256,256,53,53,90.8861,0.878906,10
wrapperSeparavel,256,256,55,55,92.6009,0.882812,10
wrapperSeparavel,256,256,57,57,96.0794,0.878906,10
wrapperSeparavel,256,256,59,59,97.2698,0.878906,10
wrapperSeparavel,256,256,61,61,101.472,0.882812,10
wrapperSeparavel,256,256,63,63,104.53,0.878906,10
wrapperSeparavel,256,256,65,65,107.469,0.882812,10
wrapperSeparavel,256,256,67,67,110.405,0.878906,10
wrapperSeparavel,256,256,69,69,112.508,0.882812,10
wrapperSeparavel,256,256,71,71,115.599,0.878906,10
wrapperSeparavel,256,256,73,73,120.465,0.882812,10
wrapperSeparavel,256,256,75,75,121.838,0.882812,10
wrapperSeparavel,256,256,77,77,125.387,0.882812,10
wrapperSeparavel,256,256,79,79,128.851,0.878906,10
wrapperSeparavel,256,256,81,81,130.248,0.882812,10
wrapperSeparavel,256,256,83,83,134.971,0.882812,10
wrapperSeparavel,256,256,85,85,136.864,0.882812,10
wrapperSeparavel,256,256,87,87,138.739,0.882812,10
wrapperSeparavel,256,256,89,89,143.563,0.882812,10
wrapperSeparavel,256,256,91,91,146.129,0.882812,10
wrapperSeparavel,256,256,93,93,147.795,0.882812,10
wrapperSeparavel,256,256,95,95,152.094,0.886719,10
wrapperSeparavel,256,256,97,97,154.044,0.882812,10
wrapperSeparavel,256,256,99,99,158.32,0.882812,10
wrapperSeparavel,256,256,101,101,159.265,0.882812,10
