Algoritmo,LarguraImagem,AlturaImagem,LarguraKernel,AlturaKernel,Tempo_ms,Memoria_MB,Iteracoes
fft2D,256,256,11,11,192.456,22.293,50
fft2D,256,256,11,11,158.665,22.2734,50
fft2D,256,256,11,11,156.826,22.2734,50
fft2D,256,256,11,11,155.927,22.2734,50
fft2D,256,256,11,11,154.725,22.2734,50
fft2D,256,256,11,11,154.247,22.2734,50
fft2D,256,256,11,11,153.943,22.2734,50
fft2D,256,256,11,11,154.207,22.2734,50
fft2D,256,256,11,11,156.875,22.2734,50
fft2D,256,256,11,11,153.496,22.2734,50
fft2D,256,256,11,11,163.865,22.2734,50
fft2D,256,256,11,11,148.05,22.2734,50
fft2D,256,256,11,11,149.7,22.2734,50
fft2D,256,256,11,11,147.736,22.2734,50
fft2D,256,256,11,11,148.223,22.2734,50
fft2D,256,256,11,11,152.99,22.2734,50
fft2D,256,256,11,11,150.038,22.2734,50
fft2D,256,256,11,11,149.369,22.2734,50
fft2D,256,256,11,11,166.777,22.2734,50
fft2D,256,256,11,11,174.796,22.2734,50
fft2D,256,256,11,11,147.461,22.2734,50
fft2D,256,256,11,11,147.951,22.2734,50
fft2D,256,256,11,11,146.669,22.2734,50
fft2D,256,256,11,11,180.936,22.2734,50
fft2D,256,256,11,11,149.207,22.2734,50
fft2D,256,256,11,11,149.26,22.2734,50
fft2D,256,256,11,11,147.717,22.2734,50
fft2D,256,256,11,11,149.563,22.2734,50
fft2D,256,256,11,11,150.048,22.2734,50
fft2D,256,256,11,11,148.057,22.2734,50
fft2D,256,256,11,11,148.693,22.2734,50
fft2D,256,256,11,11,149.907,22.2734,50
fft2D,256,256,11,11,147.564,22.2734,50
fft2D,256,256,11,11,149.836,22.2734,50
fft2D,256,256,11,11,149.003,22.2734,50
fft2D,256,256,11,11,149.881,22.2734,50
fft2D,256,256,11,11,148.111,22.2734,50
fft2D,256,256,11,11,148.429,22.2734,50
fft2D,256,256,11,11,148.939,22.2734,50
fft2D,256,256,11,11,148.659,22.2734,50
fft2D,256,256,11,11,148.764,22.2734,50
fft2D,256,256,11,11,149.393,22.2734,50
fft2D,256,256,11,11,148.113,22.2734,50
fft2D,256,256,11,11,149.03,22.2734,50
fft2D,256,256,11,11,149.82,22.2734,50
fft2D,256,256,11,11,149.235,22.2734,50
fft2D,256,256,11,11,146.91,22.2734,50
fft2D,256,256,11,11,148.83,22.2734,50
fft2D,256,256,11,11,149.656,22.2734,50
fft2D,256,256,11,11,147.815,22.2734,50
fft2D,256,256,21,21,161.603,22.0039,50
fft2D,256,256,21,21,148.765,22.0039,50
fft2D,256,256,21,21,146.447,22.0039,50
fft2D,256,256,21,21,156.057,22.0039,50
fft2D,256,256,21,21,156.182,22.0039,50
fft2D,256,256,21,21,153.252,22.0039,50
fft2D,256,256,21,21,153.151,22.0039,50
fft2D,256,256,21,21,155.656,22.0039,50
fft2D,256,256,21,21,150.22,22.0039,50
fft2D,256,256,21,21,148.99,22.0039,50
fft2D,256,256,21,21,149.178,22.0039,50
fft2D,256,256,21,21,148.555,22.0039,50
fft2D,256,256,21,21,148.688,22.0039,50
fft2D,256,256,21,21,147.504,22.0039,50
fft2D,256,256,21,21,150.243,22.0039,50
fft2D,256,256,21,21,151.324,22.0039,50
fft2D,256,256,21,21,148.644,22.0039,50
fft2D,256,256,21,21,146.664,22.0039,50
fft2D,256,256,21,21,149.85,22.0039,50
fft2D,256,256,21,21,148.227,22.0039,50
fft2D,256,256,21,21,148.062,22.0039,50
fft2D,256,256,21,21,149.508,22.0039,50
fft2D,256,256,21,21,149.729,22.0039,50
